date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2017-04-24,6492,2611000,410847500,160.5,165.0,146.0,146.0,-16.0,1255,,,,,
2017-04-25,6492,701000,99704500,147.0,148.0,137.5,137.5,-8.5,573,,,,,
2017-04-26,6492,597000,85286000,140.5,146.5,138.5,145.0,7.5,453,,,,,
2017-04-27,6492,346000,50536500,145.0,147.5,144.0,147.0,2.0,270,,,,,
2017-04-28,6492,261000,38472500,146.0,149.0,146.0,148.0,1.0,214,144.7,,,,
2017-05-02,6492,286000,40419000,148.0,148.0,139.0,139.5,-8.5,241,142.96666666666667,,,,
2017-05-03,6492,264000,36585500,139.0,141.5,136.5,138.0,-1.5,210,141.3111111111111,,,,
2017-05-04,6492,1065000,136295000,140.0,140.0,124.5,125.5,-12.5,688,136.04074074074074,,,,
2017-05-05,6492,496000,60008500,124.0,124.0,116.5,120.5,-5.0,391,130.8604938271605,,,,
2017-05-08,6492,481000,58437000,122.0,123.0,119.5,122.5,2.0,309,128.07366255144032,136.95,,,
2017-05-09,6492,276000,33486500,122.0,123.0,120.0,121.5,-1.0,181,125.88244170096021,134.14090909090908,,,
2017-05-10,6492,235000,28380500,121.5,122.0,120.5,120.5,-1.0,142,124.08829446730681,131.66074380165287,,,
2017-05-11,6492,274000,32940500,121.0,121.5,120.0,120.0,-0.5,121,122.7255296448712,129.5406085649887,,,
2017-05-12,6492,190000,22993500,120.5,122.0,120.0,120.5,0.5,130,121.98368642991413,127.89686155317257,,,
2017-05-15,6492,144000,17711000,123.0,123.5,122.5,123.5,3.0,120,122.48912428660942,127.09743217986846,,,
2017-05-16,6492,156000,19181000,124.0,124.0,122.0,123.5,0.0,114,122.82608285773962,126.44335360171056,,,
2017-05-17,6492,115000,14032500,122.5,123.5,121.0,121.0,-2.5,76,122.21738857182642,125.45365294685409,,,
2017-05-18,6492,151000,18307500,121.0,122.0,121.0,121.5,0.5,106,121.97825904788428,124.73480695651699,,,
2017-05-19,6492,110000,13617000,122.0,125.5,122.0,123.0,1.5,98,122.31883936525618,124.41938750987754,,,
2017-05-22,6492,68000,8451000,123.0,127.0,122.5,127.0,4.0,65,123.87922624350412,124.8885897808089,,,
2017-05-23,6492,162000,20669000,126.5,130.0,125.0,130.0,3.0,133,125.91948416233608,125.8179370933891,,,
2017-05-24,6492,90000,11719500,130.5,132.0,129.5,130.0,0.0,76,127.27965610822405,126.57831216731836,129.61363636363637,,
2017-05-25,6492,401000,52096000,130.0,131.5,128.0,130.5,0.5,141,128.35310407214936,127.29134631871501,129.6907114624506,,
2017-05-26,6492,79000,10175000,131.0,131.0,127.5,128.5,-2.0,61,128.4020693814329,127.5111015334941,129.58717133528097,,
2017-05-31,6492,69000,8741500,128.0,128.5,124.0,125.5,-3.0,52,127.43471292095528,127.14544670922244,129.23176513221307,,
